Fecha;Año;Año;Último
10.12.2023;10/12/23;10/12/23;76,09
03.12.2023;3/12/23;3/12/23;75,84
26.11.2023;26/11/23;26/11/23;78,88
19.11.2023;19/11/23;19/11/23;80,58
12.11.2023;12/11/23;12/11/23;80,61
05.11.2023;5/11/23;5/11/23;81,43
29.10.2023;29/10/23;29/10/23;84,89
22.10.2023;22/10/23;22/10/23;90,48
15.10.2023;15/10/23;15/10/23;92,16
08.10.2023;8/10/23;8/10/23;90,89
01.10.2023;1/10/23;1/10/23;84,58
24.09.2023;24/09/23;24/09/23;95,31
17.09.2023;17/09/23;17/09/23;93,27
10.09.2023;10/09/23;10/09/23;93,93
03.09.2023;3/09/23;3/09/23;90,65
27.08.2023;27/08/23;27/08/23;88,55
20.08.2023;20/08/23;20/08/23;84,48
13.08.2023;13/08/23;13/08/23;84,8
06.08.2023;6/08/23;6/08/23;86,81
30.07.2023;30/07/23;30/07/23;86,24
23.07.2023;23/07/23;23/07/23;84,99
16.07.2023;16/07/23;16/07/23;81,07
09.07.2023;9/07/23;9/07/23;79,87
02.07.2023;2/07/23;2/07/23;78,47
25.06.2023;25/06/23;25/06/23;74,9
18.06.2023;18/06/23;18/06/23;73,85
11.06.2023;11/06/23;11/06/23;76,61
04.06.2023;4/06/23;4/06/23;74,79
28.05.2023;28/05/23;28/05/23;76,13
21.05.2023;21/05/23;21/05/23;76,95
14.05.2023;14/05/23;14/05/23;75,58
07.05.2023;7/05/23;7/05/23;74,17
30.04.2023;30/04/23;30/04/23;75,3
23.04.2023;23/04/23;23/04/23;79,54
16.04.2023;16/04/23;16/04/23;81,66
09.04.2023;9/04/23;9/04/23;85,87
02.04.2023;2/04/23;2/04/23;85,12
26.03.2023;26/03/23;26/03/23;79,89
19.03.2023;19/03/23;19/03/23;74,99
12.03.2023;12/03/23;12/03/23;72,97
05.03.2023;5/03/23;5/03/23;82,78
26.02.2023;26/02/23;26/02/23;85,83
19.02.2023;19/02/23;19/02/23;83,16
12.02.2023;12/02/23;12/02/23;83
05.02.2023;5/02/23;5/02/23;86,39
29.01.2023;29/01/23;29/01/23;79,94
22.01.2023;22/01/23;22/01/23;86,66
15.01.2023;15/01/23;15/01/23;87,63
08.01.2023;8/01/23;8/01/23;85,28
01.01.2023;1/01/23;1/01/23;78,75
25.12.2022;25/12/22;25/12/22;85,91
18.12.2022;18/12/22;18/12/22;83,92
11.12.2022;11/12/22;11/12/22;79,04
04.12.2022;4/12/22;4/12/22;76,1
27.11.2022;27/11/22;27/11/22;85,57
20.11.2022;20/11/22;20/11/22;83,63
13.11.2022;13/11/22;13/11/22;87,62
06.11.2022;6/11/22;6/11/22;95,99
30.10.2022;30/10/22;30/10/22;98,57
23.10.2022;23/10/22;23/10/22;95,77
16.10.2022;16/10/22;16/10/22;93,5
09.10.2022;9/10/22;9/10/22;91,63
02.10.2022;2/10/22;2/10/22;97,92
25.09.2022;25/09/22;25/09/22;87,96
18.09.2022;18/09/22;18/09/22;86,15
11.09.2022;11/09/22;11/09/22;91,35
04.09.2022;4/09/22;4/09/22;92,84
28.08.2022;28/08/22;28/08/22;93,02
21.08.2022;21/08/22;21/08/22;100,99
14.08.2022;14/08/22;14/08/22;96,72
07.08.2022;7/08/22;7/08/22;98,15
31.07.2022;31/07/22;31/07/22;94,92
24.07.2022;24/07/22;24/07/22;110,01
17.07.2022;17/07/22;17/07/22;103,2
10.07.2022;10/07/22;10/07/22;101,16
03.07.2022;3/07/22;3/07/22;107,02
26.06.2022;26/06/22;26/06/22;111,63
19.06.2022;19/06/22;19/06/22;113,12
12.06.2022;12/06/22;12/06/22;113,12
05.06.2022;5/06/22;5/06/22;122,01
29.05.2022;29/05/22;29/05/22;119,72
22.05.2022;22/05/22;22/05/22;119,43
15.05.2022;15/05/22;15/05/22;112,55
08.05.2022;8/05/22;8/05/22;111,55
01.05.2022;1/05/22;1/05/22;112,39
24.04.2022;24/04/22;24/04/22;109,34
17.04.2022;17/04/22;17/04/22;106,65
10.04.2022;10/04/22;10/04/22;111,7
03.04.2022;3/04/22;3/04/22;102,78
27.03.2022;27/03/22;27/03/22;104,39
20.03.2022;20/03/22;20/03/22;120,65
13.03.2022;13/03/22;13/03/22;107,93
06.03.2022;6/03/22;6/03/22;112,67
27.02.2022;27/02/22;27/02/22;118,11
20.02.2022;20/02/22;20/02/22;97,93
13.02.2022;13/02/22;13/02/22;93,54
06.02.2022;6/02/22;6/02/22;94,44
30.01.2022;30/01/22;30/01/22;93,27
23.01.2022;23/01/22;23/01/22;90,03
16.01.2022;16/01/22;16/01/22;87,89
09.01.2022;9/01/22;9/01/22;86,06
02.01.2022;2/01/22;2/01/22;81,75
26.12.2021;26/12/21;26/12/21;77,78
19.12.2021;19/12/21;19/12/21;76,14
12.12.2021;12/12/21;12/12/21;73,52
05.12.2021;5/12/21;5/12/21;75,15
28.11.2021;28/11/21;28/11/21;69,88
21.11.2021;21/11/21;21/11/21;72,72
14.11.2021;14/11/21;14/11/21;78,89
07.11.2021;7/11/21;7/11/21;82,17
31.10.2021;31/10/21;31/10/21;82,74
24.10.2021;24/10/21;24/10/21;84,38
17.10.2021;17/10/21;17/10/21;85,53
10.10.2021;10/10/21;10/10/21;84,86
03.10.2021;3/10/21;3/10/21;82,39
26.09.2021;26/09/21;26/09/21;79,28
19.09.2021;19/09/21;19/09/21;78,09
12.09.2021;12/09/21;12/09/21;75,34
05.09.2021;5/09/21;5/09/21;72,92
29.08.2021;29/08/21;29/08/21;72,61
22.08.2021;22/08/21;22/08/21;72,7
15.08.2021;15/08/21;15/08/21;65,18
08.08.2021;8/08/21;8/08/21;70,59
01.08.2021;1/08/21;1/08/21;70,7
25.07.2021;25/07/21;25/07/21;76,33
18.07.2021;18/07/21;18/07/21;74,1
11.07.2021;11/07/21;11/07/21;73,59
04.07.2021;4/07/21;4/07/21;75,55
27.06.2021;27/06/21;27/06/21;76,17
20.06.2021;20/06/21;20/06/21;76,18
13.06.2021;13/06/21;13/06/21;73,51
06.06.2021;6/06/21;6/06/21;72,69
30.05.2021;30/05/21;30/05/21;71,89
23.05.2021;23/05/21;23/05/21;69,63
16.05.2021;16/05/21;16/05/21;66,44
09.05.2021;9/05/21;9/05/21;68,71
02.05.2021;2/05/21;2/05/21;68,28
25.04.2021;25/04/21;25/04/21;67,25
18.04.2021;18/04/21;18/04/21;66,11
11.04.2021;11/04/21;11/04/21;66,77
04.04.2021;4/04/21;4/04/21;62,95
28.03.2021;28/03/21;28/03/21;64,86
21.03.2021;21/03/21;21/03/21;64,57
14.03.2021;14/03/21;14/03/21;64,53
07.03.2021;7/03/21;7/03/21;69,22
28.02.2021;28/02/21;28/02/21;69,36
21.02.2021;21/02/21;21/02/21;66,13
14.02.2021;14/02/21;14/02/21;62,91
07.02.2021;7/02/21;7/02/21;62,43
31.01.2021;31/01/21;31/01/21;59,34
24.01.2021;24/01/21;24/01/21;55,88
17.01.2021;17/01/21;17/01/21;55,41
10.01.2021;10/01/21;10/01/21;55,1
03.01.2021;3/01/21;3/01/21;55,99
27.12.2020;27/12/20;27/12/20;51,8
20.12.2020;20/12/20;20/12/20;51,29
13.12.2020;13/12/20;13/12/20;52,26
06.12.2020;6/12/20;6/12/20;49,97
29.11.2020;29/11/20;29/11/20;49,25
22.11.2020;22/11/20;22/11/20;48,18
15.11.2020;15/11/20;15/11/20;44,96
08.11.2020;8/11/20;8/11/20;42,78
01.11.2020;1/11/20;1/11/20;39,45
25.10.2020;25/10/20;25/10/20;37,46
18.10.2020;18/10/20;18/10/20;41,77
11.10.2020;11/10/20;11/10/20;42,93
04.10.2020;4/10/20;4/10/20;42,85
27.09.2020;27/09/20;27/09/20;39,27
20.09.2020;20/09/20;20/09/20;41,92
13.09.2020;13/09/20;13/09/20;43,15
06.09.2020;6/09/20;6/09/20;39,83
30.08.2020;30/08/20;30/08/20;42,66
23.08.2020;23/08/20;23/08/20;45,05
16.08.2020;16/08/20;16/08/20;44,35
09.08.2020;9/08/20;9/08/20;44,8
02.08.2020;2/08/20;2/08/20;44,4
26.07.2020;26/07/20;26/07/20;43,3
19.07.2020;19/07/20;19/07/20;43,34
12.07.2020;12/07/20;12/07/20;43,14
05.07.2020;5/07/20;5/07/20;43,24
28.06.2020;28/06/20;28/06/20;42,8
21.06.2020;21/06/20;21/06/20;41,02
14.06.2020;14/06/20;14/06/20;42,19
07.06.2020;7/06/20;7/06/20;38,73
31.05.2020;31/05/20;31/05/20;42,3
24.05.2020;24/05/20;24/05/20;35,33
17.05.2020;17/05/20;17/05/20;35,13
10.05.2020;10/05/20;10/05/20;32,5
03.05.2020;3/05/20;3/05/20;30,97
26.04.2020;26/04/20;26/04/20;26,44
19.04.2020;19/04/20;19/04/20;21,44
12.04.2020;12/04/20;12/04/20;28,08
05.04.2020;5/04/20;5/04/20;31,48
29.03.2020;29/03/20;29/03/20;34,11
22.03.2020;22/03/20;22/03/20;24,93
15.03.2020;15/03/20;15/03/20;26,98
08.03.2020;8/03/20;8/03/20;33,85
01.03.2020;1/03/20;1/03/20;45,27
23.02.2020;23/02/20;23/02/20;50,52
16.02.2020;16/02/20;16/02/20;58,5
09.02.2020;9/02/20;9/02/20;57,32
02.02.2020;2/02/20;2/02/20;54,47
26.01.2020;26/01/20;26/01/20;58,16
19.01.2020;19/01/20;19/01/20;60,69
12.01.2020;12/01/20;12/01/20;64,85
05.01.2020;5/01/20;5/01/20;64,98
29.12.2019;29/12/19;29/12/19;68,6
22.12.2019;22/12/19;22/12/19;68,16
15.12.2019;15/12/19;15/12/19;66,14
08.12.2019;8/12/19;8/12/19;65,22
01.12.2019;1/12/19;1/12/19;64,39
24.11.2019;24/11/19;24/11/19;62,43
17.11.2019;17/11/19;17/11/19;63,39
10.11.2019;10/11/19;10/11/19;63,3
03.11.2019;3/11/19;3/11/19;62,51
27.10.2019;27/10/19;27/10/19;61,69
20.10.2019;20/10/19;20/10/19;62,02
13.10.2019;13/10/19;13/10/19;59,42
06.10.2019;6/10/19;6/10/19;60,51
29.09.2019;29/09/19;29/09/19;58,37
22.09.2019;22/09/19;22/09/19;61,91
15.09.2019;15/09/19;15/09/19;64,28
08.09.2019;8/09/19;8/09/19;60,22
01.09.2019;1/09/19;1/09/19;61,54
25.08.2019;25/08/19;25/08/19;60,43
18.08.2019;18/08/19;18/08/19;59,34
11.08.2019;11/08/19;11/08/19;58,64
04.08.2019;4/08/19;4/08/19;58,53
28.07.2019;28/07/19;28/07/19;61,89
21.07.2019;21/07/19;21/07/19;63,46
14.07.2019;14/07/19;14/07/19;62,47
07.07.2019;7/07/19;7/07/19;66,72
30.06.2019;30/06/19;30/06/19;64,23
23.06.2019;23/06/19;23/06/19;66,55
16.06.2019;16/06/19;16/06/19;65,2
09.06.2019;9/06/19;9/06/19;62,01
02.06.2019;2/06/19;2/06/19;63,29
26.05.2019;26/05/19;26/05/19;64,49
19.05.2019;19/05/19;19/05/19;68,69
12.05.2019;12/05/19;12/05/19;72,21
05.05.2019;5/05/19;5/05/19;70,62
28.04.2019;28/04/19;28/04/19;70,85
21.04.2019;21/04/19;21/04/19;72,15
14.04.2019;14/04/19;14/04/19;71,97
07.04.2019;7/04/19;7/04/19;71,55
31.03.2019;31/03/19;31/03/19;70,34
24.03.2019;24/03/19;24/03/19;68,39
17.03.2019;17/03/19;17/03/19;67,03
10.03.2019;10/03/19;10/03/19;67,16
03.03.2019;3/03/19;3/03/19;65,74
24.02.2019;24/02/19;24/02/19;65,07
17.02.2019;17/02/19;17/02/19;67,12
10.02.2019;10/02/19;10/02/19;66,25
03.02.2019;3/02/19;3/02/19;62,1
27.01.2019;27/01/19;27/01/19;62,75
20.01.2019;20/01/19;20/01/19;61,64
13.01.2019;13/01/19;13/01/19;62,7
06.01.2019;6/01/19;6/01/19;60,48
30.12.2018;30/12/18;30/12/18;57,06
23.12.2018;23/12/18;23/12/18;52,2
16.12.2018;16/12/18;16/12/18;53,82
09.12.2018;9/12/18;9/12/18;60,28
02.12.2018;2/12/18;2/12/18;61,67
25.11.2018;25/11/18;25/11/18;58,71
18.11.2018;18/11/18;18/11/18;58,8
11.11.2018;11/11/18;11/11/18;66,76
04.11.2018;4/11/18;4/11/18;70,18
28.10.2018;28/10/18;28/10/18;72,83
21.10.2018;21/10/18;21/10/18;77,62
14.10.2018;14/10/18;14/10/18;79,78
07.10.2018;7/10/18;7/10/18;80,43
30.09.2018;30/09/18;30/09/18;84,16
23.09.2018;23/09/18;23/09/18;82,72
16.09.2018;16/09/18;16/09/18;78,8
09.09.2018;9/09/18;9/09/18;78,09
02.09.2018;2/09/18;2/09/18;76,83
26.08.2018;26/08/18;26/08/18;77,42
19.08.2018;19/08/18;19/08/18;75,82
12.08.2018;12/08/18;12/08/18;71,83
05.08.2018;5/08/18;5/08/18;72,81
29.07.2018;29/07/18;29/07/18;73,21
22.07.2018;22/07/18;22/07/18;74,29
15.07.2018;15/07/18;15/07/18;73,07
08.07.2018;8/07/18;8/07/18;75,33
01.07.2018;1/07/18;1/07/18;77,11
24.06.2018;24/06/18;24/06/18;79,44
17.06.2018;17/06/18;17/06/18;75,55
10.06.2018;10/06/18;10/06/18;73,44
03.06.2018;3/06/18;3/06/18;76,46
27.05.2018;27/05/18;27/05/18;76,79
20.05.2018;20/05/18;20/05/18;76,44
13.05.2018;13/05/18;13/05/18;78,51
06.05.2018;6/05/18;6/05/18;77,12
29.04.2018;29/04/18;29/04/18;74,87
22.04.2018;22/04/18;22/04/18;74,64
15.04.2018;15/04/18;15/04/18;74,06
08.04.2018;8/04/18;8/04/18;72,58
01.04.2018;1/04/18;1/04/18;67,11
25.03.2018;25/03/18;25/03/18;70,27
18.03.2018;18/03/18;18/03/18;70,45
11.03.2018;11/03/18;11/03/18;66,21
04.03.2018;4/03/18;4/03/18;65,49
25.02.2018;25/02/18;25/02/18;64,37
18.02.2018;18/02/18;18/02/18;67,31
11.02.2018;11/02/18;11/02/18;64,84
04.02.2018;4/02/18;4/02/18;62,79
28.01.2018;28/01/18;28/01/18;68,58
21.01.2018;21/01/18;21/01/18;70,52
14.01.2018;14/01/18;14/01/18;68,61
07.01.2018;7/01/18;7/01/18;69,87
31.12.2017;31/12/17;31/12/17;67,62
24.12.2017;24/12/17;24/12/17;66,87
17.12.2017;17/12/17;17/12/17;65,25
10.12.2017;10/12/17;10/12/17;63,23
03.12.2017;3/12/17;3/12/17;63,4
26.11.2017;26/11/17;26/11/17;63,73
19.11.2017;19/11/17;19/11/17;63,86
12.11.2017;12/11/17;12/11/17;62,72
05.11.2017;5/11/17;5/11/17;63,52
29.10.2017;29/10/17;29/10/17;62,07
22.10.2017;22/10/17;22/10/17;60,44
15.10.2017;15/10/17;15/10/17;57,75
08.10.2017;8/10/17;8/10/17;57,17
01.10.2017;1/10/17;1/10/17;55,62
24.09.2017;24/09/17;24/09/17;57,54
17.09.2017;17/09/17;17/09/17;56,86
10.09.2017;10/09/17;10/09/17;55,62
03.09.2017;3/09/17;3/09/17;53,78
27.08.2017;27/08/17;27/08/17;52,75
20.08.2017;20/08/17;20/08/17;52,41
13.08.2017;13/08/17;13/08/17;52,72
06.08.2017;6/08/17;6/08/17;52,1
30.07.2017;30/07/17;30/07/17;52,42
23.07.2017;23/07/17;23/07/17;52,52
16.07.2017;16/07/17;16/07/17;48,06
09.07.2017;9/07/17;9/07/17;48,91
02.07.2017;2/07/17;2/07/17;46,71
25.06.2017;25/06/17;25/06/17;47,92
18.06.2017;18/06/17;18/06/17;45,54
11.06.2017;11/06/17;11/06/17;47,37
04.06.2017;4/06/17;4/06/17;48,15
28.05.2017;28/05/17;28/05/17;49,95
21.05.2017;21/05/17;21/05/17;52,15
14.05.2017;14/05/17;14/05/17;53,61
07.05.2017;7/05/17;7/05/17;50,84
30.04.2017;30/04/17;30/04/17;49,1
23.04.2017;23/04/17;23/04/17;51,73
16.04.2017;16/04/17;16/04/17;51,96
09.04.2017;9/04/17;9/04/17;55,89
02.04.2017;2/04/17;2/04/17;55,24
26.03.2017;26/03/17;26/03/17;52,83
19.03.2017;19/03/17;19/03/17;50,8
12.03.2017;12/03/17;12/03/17;51,76
05.03.2017;5/03/17;5/03/17;51,37
26.02.2017;26/02/17;26/02/17;55,9
19.02.2017;19/02/17;19/02/17;55,99
12.02.2017;12/02/17;12/02/17;55,81
05.02.2017;5/02/17;5/02/17;56,7
29.01.2017;29/01/17;29/01/17;56,81
22.01.2017;22/01/17;22/01/17;55,52
15.01.2017;15/01/17;15/01/17;55,49
08.01.2017;8/01/17;8/01/17;55,45
01.01.2017;1/01/17;1/01/17;57,1
25.12.2016;25/12/16;25/12/16;56,82
18.12.2016;18/12/16;18/12/16;55,16
11.12.2016;11/12/16;11/12/16;55,21
04.12.2016;4/12/16;4/12/16;54,33
27.11.2016;27/11/16;27/11/16;54,46
20.11.2016;20/11/16;20/11/16;47,24
13.11.2016;13/11/16;13/11/16;46,86
06.11.2016;6/11/16;6/11/16;44,75
30.10.2016;30/10/16;30/10/16;45,58
23.10.2016;23/10/16;23/10/16;49,71
16.10.2016;16/10/16;16/10/16;51,78
09.10.2016;9/10/16;9/10/16;51,95
02.10.2016;2/10/16;2/10/16;51,93
25.09.2016;25/09/16;25/09/16;49,06
18.09.2016;18/09/16;18/09/16;45,89
11.09.2016;11/09/16;11/09/16;45,77
04.09.2016;4/09/16;4/09/16;48,01
28.08.2016;28/08/16;28/08/16;46,83
21.08.2016;21/08/16;21/08/16;49,92
14.08.2016;14/08/16;14/08/16;50,88
07.08.2016;7/08/16;7/08/16;46,97
31.07.2016;31/07/16;31/07/16;44,27
24.07.2016;24/07/16;24/07/16;42,46
17.07.2016;17/07/16;17/07/16;45,69
10.07.2016;10/07/16;10/07/16;47,61
03.07.2016;3/07/16;3/07/16;46,76
26.06.2016;26/06/16;26/06/16;50,35
19.06.2016;19/06/16;19/06/16;48,41
12.06.2016;12/06/16;12/06/16;49,17
05.06.2016;5/06/16;5/06/16;50,54
29.05.2016;29/05/16;29/05/16;49,64
22.05.2016;22/05/16;22/05/16;49,32
15.05.2016;15/05/16;15/05/16;48,72
08.05.2016;8/05/16;8/05/16;47,83
01.05.2016;1/05/16;1/05/16;45,37
24.04.2016;24/04/16;24/04/16;48,13
17.04.2016;17/04/16;17/04/16;45,11
10.04.2016;10/04/16;10/04/16;43,1
03.04.2016;3/04/16;3/04/16;41,94
27.03.2016;27/03/16;27/03/16;38,67
20.03.2016;20/03/16;20/03/16;40,44
13.03.2016;13/03/16;13/03/16;41,2
06.03.2016;6/03/16;6/03/16;40,39
28.02.2016;28/02/16;28/02/16;38,72
21.02.2016;21/02/16;21/02/16;35,1
14.02.2016;14/02/16;14/02/16;33,01
07.02.2016;7/02/16;7/02/16;33,36
31.01.2016;31/01/16;31/01/16;34,06
24.01.2016;24/01/16;24/01/16;34,74
17.01.2016;17/01/16;17/01/16;32,18
10.01.2016;10/01/16;10/01/16;28,94
03.01.2016;3/01/16;3/01/16;33,55
27.12.2015;27/12/15;27/12/15;37,28
20.12.2015;20/12/15;20/12/15;37,89
13.12.2015;13/12/15;13/12/15;36,88
06.12.2015;6/12/15;6/12/15;37,93
29.11.2015;29/11/15;29/11/15;43
22.11.2015;22/11/15;22/11/15;44,86
15.11.2015;15/11/15;15/11/15;44,66
08.11.2015;8/11/15;8/11/15;43,61
01.11.2015;1/11/15;1/11/15;47,42
25.10.2015;25/10/15;25/10/15;49,56
18.10.2015;18/10/15;18/10/15;47,99
11.10.2015;11/10/15;11/10/15;50,46
04.10.2015;4/10/15;4/10/15;52,65
27.09.2015;27/09/15;27/09/15;48,13
20.09.2015;20/09/15;20/09/15;48,6
13.09.2015;13/09/15;13/09/15;47,47
06.09.2015;6/09/15;6/09/15;48,14
30.08.2015;30/08/15;30/08/15;49,61
23.08.2015;23/08/15;23/08/15;50,05
16.08.2015;16/08/15;16/08/15;45,46
09.08.2015;9/08/15;9/08/15;49,03
02.08.2015;2/08/15;2/08/15;48,61
26.07.2015;26/07/15;26/07/15;52,21
19.07.2015;19/07/15;19/07/15;54,62
12.07.2015;12/07/15;12/07/15;57,1
05.07.2015;5/07/15;5/07/15;58,73
28.06.2015;28/06/15;28/06/15;60,32
21.06.2015;21/06/15;21/06/15;63,26
14.06.2015;14/06/15;14/06/15;63,02
07.06.2015;7/06/15;7/06/15;63,87
31.05.2015;31/05/15;31/05/15;63,31
24.05.2015;24/05/15;24/05/15;65,56
17.05.2015;17/05/15;17/05/15;65,37
10.05.2015;10/05/15;10/05/15;66,81
03.05.2015;3/05/15;3/05/15;65,39
26.04.2015;26/04/15;26/04/15;66,46
19.04.2015;19/04/15;19/04/15;65,28
12.04.2015;12/04/15;12/04/15;63,45
05.04.2015;5/04/15;5/04/15;57,87
29.03.2015;29/03/15;29/03/15;54,95
22.03.2015;22/03/15;22/03/15;56,41
15.03.2015;15/03/15;15/03/15;55,32
08.03.2015;8/03/15;8/03/15;54,67
01.03.2015;1/03/15;1/03/15;59,73
22.02.2015;22/02/15;22/02/15;62,58
15.02.2015;15/02/15;15/02/15;60,22
08.02.2015;8/02/15;8/02/15;61,52
01.02.2015;1/02/15;1/02/15;57,8
25.01.2015;25/01/15;25/01/15;52,99
18.01.2015;18/01/15;18/01/15;48,79
11.01.2015;11/01/15;11/01/15;50,17
04.01.2015;4/01/15;4/01/15;50,11
28.12.2014;28/12/14;28/12/14;56,42
21.12.2014;21/12/14;21/12/14;59,45
14.12.2014;14/12/14;14/12/14;61,38
07.12.2014;7/12/14;7/12/14;61,85
30.11.2014;30/11/14;30/11/14;69,07
23.11.2014;23/11/14;23/11/14;70,15
16.11.2014;16/11/14;16/11/14;80,36
09.11.2014;9/11/14;9/11/14;79,41
02.11.2014;2/11/14;2/11/14;83,39
26.10.2014;26/10/14;26/10/14;85,86
19.10.2014;19/10/14;19/10/14;86,13
12.10.2014;12/10/14;12/10/14;86,16
05.10.2014;5/10/14;5/10/14;90,21
28.09.2014;28/09/14;28/09/14;92,31
21.09.2014;21/09/14;21/09/14;97
14.09.2014;14/09/14;14/09/14;98,39
07.09.2014;7/09/14;7/09/14;97,11
31.08.2014;31/08/14;31/08/14;100,82
24.08.2014;24/08/14;24/08/14;103,19
17.08.2014;17/08/14;17/08/14;102,29
10.08.2014;10/08/14;10/08/14;103,53
03.08.2014;3/08/14;3/08/14;105,02
27.07.2014;27/07/14;27/07/14;104,84
20.07.2014;20/07/14;20/07/14;108,39
13.07.2014;13/07/14;13/07/14;107,24
06.07.2014;6/07/14;6/07/14;106,66
29.06.2014;29/06/14;29/06/14;110,64
22.06.2014;22/06/14;22/06/14;113,3
15.06.2014;15/06/14;15/06/14;114,81
08.06.2014;8/06/14;8/06/14;113,41
01.06.2014;1/06/14;1/06/14;108,61
25.05.2014;25/05/14;25/05/14;109,41
18.05.2014;18/05/14;18/05/14;110,54
11.05.2014;11/05/14;11/05/14;109,75
